feature,feature_importance
Service Tax,0.0001533520922175624
Total,1.2628480391851937e-05
Property Tax,1.0514564999897225e-05
pet_store,9.512118867349706e-06
Fire Insurance,8.523338006383163e-06
insurance_agency,8.151302068104549e-06
clothing_store,7.484371413291058e-06
bar,7.057291917411668e-06
liquor_store,7.018382965573444e-06
physiotherapist,6.869083262306397e-06
Square Meters,6.351819254013513e-06
shopping_mall,6.142588277024963e-06
amusement_park,6.019957036085266e-06
library,5.784382969054036e-06
bus_station,5.716230868757499e-06
bakery,5.448069489766283e-06
lawyer,5.428684378805393e-06
pharmacy,4.941861687424165e-06
car_repair,4.481891276220118e-06
Bathrooms,4.441978354474685e-06
subway_station,4.2805628487352365e-06
Condo Fee,3.938019244698054e-06
post_office,3.649907202363245e-06
park,3.454884594744634e-06
airport,3.358411003406836e-06
beauty_salon,3.0786833080664877e-06
gas_station,3.017256507975574e-06
art_gallery,2.8811026308028787e-06
night_club,2.749050996175839e-06
moving_company,2.7367270646339037e-06
church,2.7299960989601857e-06
real_estate_agency,2.299442023900866e-06
hair_care,2.290618796640942e-06
gym,2.023494130143355e-06
bank,1.3857940991401918e-06
meal_delivery,1.2348585365362652e-06
doctor,1.144598914759598e-06
taxi_stand,8.607487481659959e-07
home_goods_store,8.277669820699884e-07
Parking Spaces,7.545069665715332e-07
cafe,7.280994103187055e-07
department_store,5.236914069062237e-07
electrician,5.150408648457727e-07
furniture_store,4.416034918852674e-07
school,4.363262583462202e-07
jewelry_store,1.1450838399706953e-07
convenience_store,0.0
plumber,0.0
store,0.0
Pets Allowed?,0.0
parking,0.0
painter,0.0
museum,0.0
train_station,0.0
hardware_store,0.0
health,0.0
fire_station,-3.3190596993026844e-07
spa,-4.5562510075924934e-07
meal_takeaway,-5.316502933450096e-07
supermarket,-7.037255926878316e-07
laundry,-7.407929404346092e-07
Furnished?,-8.356706981960116e-07
car_wash,-9.565040725023621e-07
hospital,-9.610199096510286e-07
dentist,-1.0632921509934334e-06
lodging,-1.1399707516845936e-06
restaurant,-1.2142623978528277e-06
atm,-1.3145929086411101e-06
stadium,-1.576940779179914e-06
movie_theater,-1.5906216938033069e-06
university,-1.6688438706502495e-06
police,-1.8224572778668957e-06
electronics_store,-2.2037905571536953e-06
shoe_store,-2.890286880941062e-06
Bedrooms,-3.517861788537857e-06
veterinary_care,-3.600852036322877e-06
