ID,Location,Lat,Long,Square Meters,Bedrooms,Bathrooms,Parking Spaces,Pets Allowed?,Furnished?,Rent,Condo Fee,Property Tax,Fire Insurance,Service Tax,Total
894544083,"Rua Dúlce Maria, Ipiranga, Belo Horizonte",-19.8802243,-43.9325693,50,3,1,1,0,0,2000,260,167,27,52,2454
893038147,"Av. do Contorno, Floresta, Belo Horizonte",-19.9160247,-43.9274703,55,2,1,1,0,1,1700,650,125,23,44,2542
894513929,"Rua Capelinha, Serra, Belo Horizonte",-19.9408214,-43.9156945,70,2,2,2,0,0,2830,400,184,38,74,3452
892878744,"Rua Luiz Balena, Silveira, Belo Horizonte",-19.8924584,-43.9314741,14,3,2,4,0,1,4000,550,142,54,103,4849
894230043,"Rua Vereador Fausto Santana, Engenho Nogueira, Belo Horizonte",-19.8898341,-43.9807368,48,2,1,1,0,0,1700,399,93,23,44,2259
893605521,"Avenida Senador José Augusto, Buritis, Belo Horizonte",-19.9811911,-43.9783848,50,3,2,1,0,1,2967,465,100,40,76,3648
894149571,"Rua Princesa Leopoldina, Ipiranga, Belo Horizonte",-19.8845513,-43.9333223,60,3,1,1,0,1,2100,250,127,28,54,2559
894563199,"Rua Wilsom Modesto Ribeiro, Ipiranga, Belo Horizonte",-19.8775513,-43.9308622,18,5,3,2,0,0,4500,900,250,60,116,5826
893299176,"Avenida Miguel Perrela, Castelo, Belo Horizonte",-19.8765859,-43.9953482,50,2,1,1,0,0,1592,225,84,22,41,1964
894563981,"Rua Deputado Fábio Vasconcelos, Buritis, Belo Horizonte",-19.9734672,-43.9763309,46,1,1,2,0,0,3500,945,160,47,90,4742
894508579,"Avenida Amazonas, Centro, Belo Horizonte",-19.9211391,-43.9423594,94,2,2,0,0,0,2800,700,0,38,73,3538
894182044,"Rua Carmelita Prates da Silva, Salgado Filho, Belo Horizonte",-19.9425768,-43.9851319,50,2,2,1,0,0,1900,510,92,26,49,2577
894047655,"Rua Egito, Jardim Leblon, Belo Horizonte",-19.8276207,-43.9933797,60,2,1,1,0,0,1038,30,0,17,26,1111
893784620,"Rua Grão Mogol, Carmo, Belo Horizonte",-19.943377,-43.9328568,53,2,1,1,0,1,2777,838,221,32,61,3929
893628836,"Rua Bambuí, Cruzeiro, Belo Horizonte",-19.9478581,-43.9216986,53,1,1,1,0,1,2380,398,117,32,61,2988
894557173,"Avenida Augusto de Lima, Barro Preto, Belo Horizonte",-19.9212504,-43.9516073,35,1,1,0,0,0,1100,340,0,15,28,1483
894109501,"Rua dos Timbiras, Lourdes, Belo Horizonte",-19.9255051,-43.944522,50,1,1,0,0,0,1300,254,66,18,33,1671
893070965,"Rua dos Timbiras, Santo Agostinho, Belo Horizonte",-19.9237998,-43.9515288,20,1,1,0,0,1,1360,280,72,19,35,1766
893644108,"Rua Augusta Alvarenga Inêz, Candelária, Belo Horizonte",-19.8131327,-43.976311,56,2,1,1,0,0,1029,255,0,14,22,1320
893512781,"Rua Tunísia, Canaã, Belo Horizonte",-19.7975251,-43.9476545,90,3,2,2,0,0,1650,80,89,30,42,1891
893091510,"Rua dos Crenaques, Santa Mônica, Belo Horizonte",-19.8243962,-43.981251,50,2,1,1,0,0,1069,212,82,15,27,1405
894467406,"Rua Sergipe, Centro, Belo Horizonte",-19.9270972,-43.935289,82,2,3,2,0,1,4200,650,392,56,108,5406
893535701,"Rua Ernani Agricola, Buritis, Belo Horizonte",-19.9698477,-43.9689946,60,2,1,2,0,1,2800,439,133,38,72,3482
893292023,"Rua Maestro Delê Andrade, Santa Efigênia , Belo Horizonte",-19.9256351,-43.9132498,40,1,1,1,0,0,1200,0,42,22,31,1295
893738921,"Avenida Miguel Perrela, Castelo, Belo Horizonte",-19.8765859,-43.9953482,74,3,2,2,0,0,2673,500,219,36,69,3497
